,brand,color,gear,year,body,loc_1,usage,price
59,سمند LX ساده,زرد,دنده‌ای,1383,چند لکه رنگ,شیراز,407.0,25000000.0
60,سمند LX EF7 بنزینی,سفید,دنده‌ای,1397,بدون رنگ,تهران,78.0,97000000.0
61,پراید 111 SE,سفید,دنده‌ای,1397,بدون رنگ,مشهد,39.0,50500000.0
62,پژو 206 تیپ ۲,نوک‌مدادی,دنده‌ای,1386,چند لکه رنگ,تهران,235000.0,47500000.0
63,پژو 206 تیپ ۲,بژ,دنده‌ای,1382,چند لکه رنگ,مشهد,340000.0,28800000.0
64,پژو 206 تیپ ۲,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,60000.0,75000000.0
65,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,تهران,60000.0,96000000.0
66,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1398,بدون رنگ,تهران,0.0,84000000.0
67,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1396,بدون رنگ,کرج,69000.0,70000000.0
68,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,اهواز,65000.0,95000000.0
69,پژو 206 تیپ ۵,بنفش,دنده‌ای,1394,دو لکه رنگ,تهران,130000.0,73000000.0
70,پژو 206 تیپ ۵,خاکستری,دنده‌ای,1385,چند لکه رنگ,تهران,197000.0,45000000.0
71,پژو 206 تیپ ۵,خاکستری,دنده‌ای,1397,بدون رنگ,مشهد,40000.0,100000000.0
72,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1381,چند لکه رنگ,کرمانشاه,250000.0,33000000.0
73,پژو پارس ساده,بژ,دنده‌ای,1379,چند لکه رنگ,رشت,350000.0,28000000.0
74,پراید 131 SE,سفید,دنده‌ای,1395,بدون رنگ,تهران,20.0,43000000.0
75,پراید 111 SE,سفید,دنده‌ای,1395,دو لکه رنگ,تهران,64000.0,44200000.0
76,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,71000.0,46500000.0
77,دنا معمولی,سرمه‌ای,دنده‌ای,1395,بدون رنگ,تهران,47000.0,113000000.0
